Time,FSR Reading
1748626986.4805472,747
1748626986.5809443,747
1748626986.6814203,747
1748626986.7817512,746
1748626986.8821023,746
1748626986.9825284,747
1748626987.0829556,746
1748626987.183396,746
1748626987.2836177,746
1748626987.3838801,745
1748626987.4844472,745
1748626987.5847607,745
1748626987.6851277,745
1748626987.7856014,745
1748626987.8859246,745
1748626987.9862044,744
1748626988.0865893,744
1748626988.186916,744
1748626988.287385,744
1748626988.387724,744
1748626988.487993,744
1748626988.588453,744
1748626988.688856,744
1748626988.7892234,744
1748626988.889533,744
1748626988.9899259,744
1748626989.0902998,744
1748626989.1906576,744
1748626989.2909925,743
1748626989.3913617,745
1748626989.4917212,745
1748626989.5921626,744
1748626989.6925342,744
1748626989.7929153,743
1748626989.893314,743
1748626989.9935923,744
1748626990.094039,744
1748626990.1942077,744
1748626990.2947667,743
1748626990.3950937,743
1748626990.4954379,741
1748626990.5958633,741
1748626990.6962929,741
1748626990.7966616,740
1748626990.8969421,740
1748626990.997291,739
1748626991.0976298,739
1748626991.1980708,739
1748626991.2984555,738
1748626991.399389,737
1748626991.499527,738
1748626991.5995674,737
1748626991.6999152,737
1748626991.800298,737
1748626991.9006817,737
1748626992.0009267,737
1748626992.1013753,737
1748626992.2016134,736
1748626992.301942,736
1748626992.4025292,736
1748626992.5028358,736
1748626992.6032815,736
1748626992.7036138,735
1748626992.803959,735
1748626992.9042969,735
1748626993.0046842,736
1748626993.1051366,736
1748626993.2055266,736
1748626993.3058167,736
1748626993.4062812,736
1748626993.5065649,736
1748626993.6069055,736
1748626993.7075365,736
1748626993.8078465,736
1748626993.9080148,735
1748626994.0084357,735
1748626994.1088202,735
1748626994.2091758,735
1748626994.3099198,734
1748626994.409818,734
1748626994.5103662,734
1748626994.6106157,734
1748626994.7110085,734
1748626994.811269,734
1748626994.911807,734
1748626995.01229,733
1748626995.1130369,733
1748626995.2130952,733
1748626995.313555,733
1748626995.4134703,732
1748626995.5140576,732
1748626995.6143584,731
1748626995.7147963,731
1748626995.8149161,731
1748626995.9153652,731
1748626996.016019,730
1748626996.1162674,730
1748626996.2167726,730
1748626996.3171325,730
1748626996.417156,730
1748626996.5179057,730
1748626996.6179888,730
1748626996.7183583,729
1748626996.818663,729
1748626996.9191287,729
1748626997.0195315,729
1748626997.1198177,729
1748626997.2205484,729
1748626997.3204951,729
1748626997.4208593,729
1748626997.5212598,729
1748626997.62179,729
1748626997.7219915,729
1748626997.82238,729
1748626997.922747,729
1748626998.0232818,729
1748626998.1234956,730
1748626998.2240207,729
1748626998.3243258,729
1748626998.4246078,729
1748626998.5250103,729
1748626998.625341,729
1748626998.7257931,729
1748626998.826047,729
1748626998.9265072,729
1748626999.0269961,729
1748626999.1273775,729
1748626999.228106,729
1748626999.328014,728
1748626999.4285364,728
1748626999.5287662,728
1748626999.6291437,728
1748626999.729612,727
1748626999.8298573,727
1748626999.9306107,727
1748627000.030611,727
1748627000.1309898,726
1748627000.2313633,726
1748627000.3316836,726
1748627000.4320948,726
1748627000.5325396,726
1748627000.632828,725
1748627000.733286,725
1748627000.8335686,725
1748627000.9339213,725
1748627001.034341,725
1748627001.1346745,725
1748627001.2350564,725
1748627001.3354056,725
1748627001.4356794,725
1748627001.5360873,724
1748627001.6364748,725
1748627001.7369673,724
1748627001.837237,724
1748627001.937538,724
1748627002.0380077,725
1748627002.138405,725
1748627002.2387848,725
1748627002.3389714,725
1748627002.4393966,725
1748627002.5399086,725
1748627002.640242,725
1748627002.7406113,725
1748627002.8408487,725
1748627002.9413204,725
1748627003.041595,725
1748627003.1419291,725
1748627003.242479,725
1748627003.342772,725
1748627003.4430406,725
1748627003.5435035,725
1748627003.643847,725
1748627003.7442482,725
1748627003.8444617,724
1748627003.9450076,724
1748627004.0454004,724
1748627004.1457725,724
1748627004.2460601,724
1748627004.3466003,724
1748627004.4468846,723
1748627004.5472412,723
1748627004.647484,723
1748627004.7479463,722
1748627004.848372,722
1748627004.9487617,722
1748627005.0491397,722
1748627005.1494634,722
1748627005.249799,722
1748627005.3503237,722
1748627005.4505656,721
1748627005.551073,721
1748627005.6513157,721
1748627005.7516723,721
1748627005.8521533,721
1748627005.9523914,721
1748627006.0527563,721
1748627006.1532328,721
1748627006.2535043,721
1748627006.3538566,721
1748627006.4543185,721
1748627006.5546768,721
1748627006.6549253,721
1748627006.7553976,721
1748627006.8556342,721
1748627006.9561193,721
1748627007.0565557,721
1748627007.1567657,721
1748627007.257287,721
1748627007.3575246,721
1748627007.4579456,721
1748627007.5583234,721
1748627007.658679,721
1748627007.759017,721
1748627007.859342,721
1748627007.959849,721
1748627008.0603151,721
1748627008.1611745,721
1748627008.2613957,721
1748627008.3613317,721
1748627008.461636,721
1748627008.5621197,721
1748627008.6623838,720
1748627008.7627864,720
1748627008.8631268,720
1748627008.9634864,720
1748627009.0640814,719
1748627009.1643095,719
1748627009.2645595,719
1748627009.364969,719
1748627009.465319,719
1748627009.56582,719
1748627009.6660962,719
1748627009.7664955,719
1748627009.8668332,718
1748627009.9672303,718
1748627010.0676467,718
1748627010.1678667,718
1748627010.2683015,718
1748627010.3687508,718
1748627010.469119,718
1748627010.569592,718
1748627010.6697896,718
1748627010.7702053,718
1748627010.8704631,718
1748627010.9708655,718
1748627011.0713966,718
1748627011.1716042,718
1748627011.2720525,718
1748627011.3724163,719
1748627011.4726987,719
1748627011.5730584,719
1748627011.673462,719
1748627011.7737854,719
1748627011.874288,719
1748627011.9745753,719
1748627012.075035,719
1748627012.175334,719
1748627012.2757604,719
1748627012.3760054,719
1748627012.4765463,719
1748627012.5768342,719
1748627012.6772068,719
1748627012.7779279,719
1748627012.8779538,719
1748627012.97838,719
1748627013.0787256,719
1748627013.1790628,719
1748627013.279476,719
1748627013.3798516,719
1748627013.4802017,718
1748627013.5805607,718
1748627013.6808164,718
1748627013.7813556,718
1748627013.8816519,718
1748627013.9820244,718
1748627014.0823817,718
1748627014.1826386,718
1748627014.2833135,717
1748627014.3835554,718
1748627014.483909,717
1748627014.584287,717
1748627014.6846309,717
1748627014.7849524,717
1748627014.8852546,717
1748627014.9857652,717
1748627015.0860403,717
1748627015.1864402,717
1748627015.286839,717
1748627015.3871992,717
1748627015.4874454,717
1748627015.5879347,717
1748627015.6883671,718
1748627015.7886753,718
1748627015.8890803,717
1748627015.9894316,718
1748627016.0899408,718
1748627016.1900973,718
1748627016.2906582,718
1748627016.3909633,718
1748627016.491362,718
1748627016.5916314,718
1748627016.6922565,719
1748627016.7924604,718
1748627016.8927984,719
1748627016.993435,719
1748627017.0935354,719
1748627017.1938186,718
1748627017.2942615,718
1748627017.3946476,718
1748627017.4952815,718
1748627017.5952995,718
1748627017.6958022,718
1748627017.7961874,718
1748627017.8964972,718
1748627017.9969382,718
1748627018.097285,718
1748627018.1976233,717
1748627018.2979648,717
1748627018.3983018,717
1748627018.4990318,717
1748627018.599031,717
1748627018.6994202,717
1748627018.7996585,716
1748627018.900181,716
1748627019.0005205,716
1748627019.100832,716
1748627019.201259,716
1748627019.3015,716
1748627019.4019425,716
1748627019.502906,716
1748627019.6027281,716
1748627019.7031758,716
1748627019.8034065,716
1748627019.9038858,716
1748627020.0042887,716
1748627020.1045465,716
1748627020.2048848,716
1748627020.3053393,716
1748627020.405732,716
1748627020.5060449,716
1748627020.6065009,717
1748627020.7067957,717
1748627020.807181,717
1748627020.9075475,717
1748627021.0079389,717
1748627021.1083436,717
1748627021.2086368,717
1748627021.309074,717
1748627021.4094682,718
1748627021.5098925,717
1748627021.6102858,717
1748627021.7105842,717
1748627021.8109436,718
1748627021.9113402,717
1748627022.0117042,718
1748627022.1120183,717
1748627022.212524,717
1748627022.3127396,717
1748627022.413067,717
1748627022.5135255,717
1748627022.6138084,717
